;
2. Population totale par ?ge et sexe,  Population totale : 20-39 ans, ELP : Estimation localis?e de population;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par ?ge et sexe,  Population totale : 60-74 ans, ELP : Estimation localis?e de population;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par ?ge et sexe,  Population totale : moins de 20 ans, ELP : Estimation localis?e de population;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par ?ge et sexe,  Population totale : 40-59 ans, ELP : Estimation localis?e de population;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par ?ge et sexe,  Population totale : 75 ans et plus, ELP : Estimation localis?e de population;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
;
;
;2014;2014;2014;2014;2014;;
;Pop. totale : 20-39 ans;Pop. totale : 60-74 ans;Pop. totale : 0-19 ans;Pop. totale : 40-59 ans;Pop. totale : 75 ans et +;;
;ELP : Estimation localis?e de population;ELP : Estimation localis?e de population;ELP : Estimation localis?e de population;ELP : Estimation localis?e de population;ELP : Estimation localis?e de population;;
000 France m?tropolitaine;15573196;9739449;15589046;17195978;5884409;;
001 France enti?re;16080965;9966531;16285618;17755258;5985958;;
D01 Ain;147831;88561;164746;176683;48973;;
D02 Aisne;122152;83749;136900;147339;49232;;
D03 Allier;66022;65284;72690;94383;45106;;
D04 Alpes-de-Haute-Provence;31353;30940;35485;45654;19078;;
D05 Hautes-Alpes;28519;24886;31623;39812;15190;;
D06 Alpes-Maritimes;245398;185887;231286;289523;129222;;
D07 Ard?che;63575;58919;73498;90001;35929;;
D08 Ardennes;62259;44441;68246;78622;26371;;
D09 Ari?ge;29751;28444;32450;42812;19415;;
D10 Aube;70020;50219;75021;81428;30628;;
D11 Aude;72537;68959;82247;100225;43549;;
D12 Aveyron;52537;51940;57843;76479;38974;;
D13 Bouches-du-Rh?ne;490793;307109;485044;533223;184297;;
D14 Calvados;160232;110838;170953;183440;66137;;
D15 Cantal;27508;28527;28223;41873;20577;;
D16 Charente;72041;64140;75760;99645;42383;;
D17 Charente-Maritime;125915;125799;135090;171479;78013;;
D18 Cher;62899;57820;67543;86405;37022;;
D19 Corr?ze;46354;45300;49251;65664;33101;;
D21 C?te-d'Or;131020;83354;125354;141268;50257;;
D22 C?tes-d'Armor;115649;110672;138355;160478;73037;;
D23 Creuse;20387;24473;22465;34095;18708;;
D24 Dordogne;75467;84659;83929;116947;56553;;
D25 Doubs;136211;79578;133238;139145;46818;;
D26 Dr?me;108357;82899;122377;136034;48281;;
D27 Eure;136462;90596;156860;165608;47792;;
D28 Eure-et-Loir;97810;67223;110946;118760;39229;;
D29 Finist?re;198765;151951;209564;248079;97258;;
D2A Corse-du-Sud;35281;26079;30901;42870;15843;;
D2B Haute-Corse;41259;30122;35300;48059;17807;;
D30 Gard;157510;128643;175874;204096;74848;;
D31 Haute-Garonne;378846;171889;318457;345048;102507;;
D32 Gers;34248;36797;39540;54458;25899;;
D33 Gironde;389202;227126;360948;411398;135566;;
D34 H?rault;275753;181361;257654;287726;105640;;
D35 Ille-et-Vilaine;269039;138441;267922;267083;87579;;
D36 Indre;42030;43622;47238;63178;30703;;
D37 Indre-et-Loire;141595;94883;144875;159975;61724;;
D38 Is?re;307871;177230;324915;334877;99470;;
D39 Jura;53879;44074;61721;72232;28011;;
D40 Landes;81408;73849;88036;113360;44661;;
D41 Loir-et-Cher;66894;58476;77012;90420;39557;;
D42 Loire;171384;123636;185387;196867;81701;;
D43 Haute-Loire;45381;40010;52457;63622;25371;;
D44 Loire-Atlantique;335361;192951;347570;355196;112460;;
D45 Loiret;157537;102416;169520;177194;61690;;
D46 Lot;30336;35809;33940;48782;24552;;
D47 Lot-et-Garonne;66286;62533;72449;89990;42385;;
D48 Loz?re;15546;13967;16031;21470;9376;;
D49 Maine-et-Loire;192258;116672;212223;208616;75041;;
D50 Manche;101931;86461;114095;137952;59511;;
D51 Marne;144491;85851;140574;151628;48909;;
D52 Haute-Marne;38438;32058;39531;49808;20710;;
D53 Mayenne;66198;46901;79069;81712;33900;;
D54 Meurthe-et-Moselle;188680;108090;174495;193293;65708;;
D55 Meuse;42434;31177;44722;52997;20025;;
D56 Morbihan;153486;130895;172985;203362;81795;;
D57 Moselle;256543;158238;240333;300464;91283;;
D58 Ni?vre;39921;43814;42614;57773;29554;;
D59 Nord;688717;347001;699418;670697;195320;;
D60 Oise;201154;112466;219691;227729;58008;;
D61 Orne;56930;51406;66056;78052;35111;;
D62 Pas-de-Calais;351056;212252;385406;394471;122359;;
D63 Puy-de-D?me;154922;106904;142766;175412;63599;;
D64 Pyr?n?es-Atlantiques;145413;113623;144070;186445;77549;;
